id,genre,level,question_text,option_a,option_b,option_c,option_d,correct_option
1,"Human Anatomy",Easy,"What is the powerhouse of the cell?",Nucleus,Mitochondria,Ribosome,"Golgi Apparatus",B
2,"Human Anatomy",Easy,"How many bones are in the adult human body?",206,208,210,212,A
3,"Human Anatomy",Easy,"Which organ pumps blood?",Brain,Lungs,Heart,Liver,C
4,"Human Anatomy",Easy,"Which system controls body movements?",Digestive,Nervous,Respiratory,Circulatory,B
5,"Human Anatomy",Easy,"Which organ is responsible for filtering blood?",Heart,Kidneys,Liver,Lungs,B
6,"Human Anatomy",Medium,"Which blood type is the universal donor?",A,B,O,AB,C
7,"Human Anatomy",Medium,"What is the largest organ in the human body?",Liver,Skin,Heart,Brain,B
8,"Human Anatomy",Medium,"Where are red blood cells produced?",Lungs,Heart,"Bone Marrow",Liver,C
9,"Human Anatomy",Medium,"What is the function of hemoglobin?","Store fat","Carry oxygen","Digest proteins","Produce hormones",B
10,"Human Anatomy",Medium,"Which part of the brain controls vision?",Cerebrum,Cerebellum,"Occipital Lobe",Medulla,C
11,"Human Anatomy",Hard,"Which part of the brain controls balance?",Cerebrum,Cerebellum,Medulla,Hypothalamus,B
12,"Human Anatomy",Hard,"What is the smallest bone in the human body?",Femur,Stapes,Radius,Ulna,B
13,"Human Anatomy",Hard,"Which hormone regulates blood sugar?",Insulin,Adrenaline,Cortisol,Estrogen,A
14,"Human Anatomy",Hard,"What is the function of the lymphatic system?","Digest food","Transport oxygen","Fight infections","Store energy",C
15,"Human Anatomy",Hard,"Which organ produces insulin?",Liver,Pancreas,Kidneys,Gallbladder,B
16,"Math Magic",Easy,"What is 15 + 20?",30,35,40,25,B
17,"Math Magic",Easy,"What is the square root of 64?",6,7,8,9,C
18,"Math Magic",Easy,"Which number is a prime number?",10,15,17,21,C
19,"Math Magic",Easy,"What is 5 multiplied by 6?",30,25,35,40,A
20,"Math Magic",Easy,"What is 100 divided by 4?",20,25,30,40,B
21,"Math Magic",Medium,"What is 25% of 200?",50,25,75,100,A
22,"Math Magic",Medium,"Solve: 3x = 18. Find x.",3,6,9,12,B
23,"Math Magic",Medium,"What is 9 squared?",72,81,90,99,B
24,"Math Magic",Medium,"What is the value of π (pi) approximately?",2.14,3.14,4.14,5.14,B
25,"Math Magic",Medium,"What is the result of 2³?",4,6,8,9,C
26,"Math Magic",Hard,"What is the value of 3⁴?",27,81,64,49,B
27,"Math Magic",Hard,"What is the square root of 144?",10,11,12,13,C
28,"Math Magic",Hard,"If x² = 49, what is x?",5,6,7,8,C
29,"Math Magic",Hard,"Solve: 2x + 5 = 15. Find x.",2,5,7,10,B
30,"Math Magic",Hard,"Find the sum of angles in a triangle.",90°,120°,180°,360°,C
31,"Math Magic",Hard,"What is log(100) to base 10?",0,1,2,10,C
32,"Math Magic",Hard,"What is the factorial of 5?",60,100,120,150,C
33,"Math Magic",Hard,"What is 8% of 200?",12,14,16,18,C
34,"Math Magic",Hard,"If a² + b² = c², what theorem is this?","Euler’s Theorem","Fermat’s Theorem","Pythagorean Theorem","Pascal’s Theorem",C
35,"Math Magic",Hard,"What is 1+2+3+...+10?",50,55,60,65,B
